race_code       Asian  Black  Native  Mult  Other  Undes  White
nc_house_abbrv                                                 
001              0.3%  17.5%    0.2%  0.4%   1.0%   1.7%  79.0%
002              0.3%  24.7%    0.3%  0.5%   1.4%   2.4%  70.2%
003              0.6%  19.1%    0.2%  0.4%   2.0%   2.5%  75.1%
004              0.5%  18.1%    0.2%  0.5%   3.3%   3.1%  74.3%
005              0.2%  54.6%    0.3%  0.6%   0.8%   2.7%  40.8%
006              0.2%  14.9%    0.1%  0.3%   1.0%   1.9%  81.6%
007              0.4%  54.6%    0.5%  0.5%   1.6%   2.2%  40.2%
008              0.4%  30.0%    0.2%  0.4%   2.3%   2.0%  64.6%
009              1.0%  20.5%    0.2%  0.9%   2.5%   2.7%  72.2%
010              0.6%  16.6%    0.2%  0.3%   1.7%   2.0%  78.6%
011              3.5%  15.4%    0.3%  1.2%   4.9%   7.7%  67.2%
012              0.5%  53.0%    0.2%  0.5%   1.6%   1.9%  42.3%
013              0.4%   8.7%    0.2%  0.3%   0.9%   2.3%  87.3%
014              1.2%  20.4%    0.4%  1.1%   5.3%   3.2%  68.4%
015              0.9%  17.0%    0.4%  0.7%   4.6%   2.9%  73.5%
016              0.3%  15.5%    0.2%  0.4%   1.8%   2.6%  79.1%
017              0.2%   6.5%    0.2%  0.2%   1.0%   2.7%  89.2%
018              0.5%  27.9%    0.4%  0.9%   1.7%   5.1%  63.6%
019              0.6%   6.0%    0.2%  0.5%   1.6%   3.5%  87.6%
020              0.8%   7.2%    0.2%  0.6%   1.5%   3.9%  85.9%
021              0.4%  57.5%    0.3%  0.5%   2.8%   3.9%  34.6%
022              0.2%  29.3%    1.8%  0.4%   3.0%   2.0%  63.4%
023              0.1%  55.5%    0.1%  0.3%   0.9%   1.3%  41.8%
024              0.5%  63.1%    0.2%  0.7%   2.6%   2.8%  30.1%
025              0.3%  16.7%    0.3%  0.5%   1.8%   2.5%  77.9%
026              0.5%  16.9%    0.3%  0.6%   2.5%   3.3%  75.9%
027              0.4%  55.3%    2.2%  0.4%   0.7%   1.8%  39.2%
028              0.2%  15.3%    0.3%  0.4%   2.7%   2.9%  78.1%
029              2.5%  50.7%    0.3%  1.7%   2.7%   6.5%  35.7%
030              5.0%  18.1%    0.3%  1.5%   3.1%   5.7%  66.3%
031              1.1%  55.8%    0.2%  1.6%   2.9%   5.9%  32.4%
032              0.2%  53.6%    1.2%  0.4%   1.2%   2.1%  41.2%
033              1.3%  53.6%    0.3%  1.4%   3.2%  10.9%  29.2%
034              1.4%  14.7%    0.2%  1.1%   3.1%   6.1%  73.4%
035              1.6%  17.9%    0.2%  0.9%   3.2%   5.0%  71.2%
036              2.6%   7.1%    0.2%  0.7%   3.5%   3.9%  82.1%
037              1.3%  12.0%    0.3%  0.7%   2.9%   4.4%  78.5%
038              2.5%  53.7%    0.3%  1.4%   4.8%   8.4%  28.9%
039              1.3%  30.0%    0.3%  1.0%   3.5%   5.5%  58.4%
040              5.2%   9.8%    0.3%  0.8%   3.8%   5.1%  75.0%
041             10.6%   6.8%    0.3%  0.7%   5.7%   4.7%  71.2%
042              1.4%  56.9%    0.6%  1.5%   7.2%   5.3%  27.1%
043              0.9%  54.0%    0.9%  1.2%   4.1%   5.1%  33.7%
